From src:'1'	To src:'2'
CHEMBL1200928	DB14487
CHEMBL3989852	DB15819
CHEMBL1060	DB14502
CHEMBL1201015	DB14518
CHEMBL1230866	DB14521
CHEMBL2105897	DB11150
CHEMBL290916	DB12243
CHEMBL3251296	DB18822
CHEMBL337450	DB11667
CHEMBL316966	DB02527
CHEMBL271591	DB02898
CHEMBL1235413	DB03400
CHEMBL478	DB12110
CHEMBL96862	DB03726
CHEMBL1236872	DB03528
CHEMBL2104678	DB13992
CHEMBL37390	DB13449
CHEMBL980	DB00874
CHEMBL2106181	DB15915
CHEMBL1232205	DB03491
CHEMBL14830	DB16833
CHEMBL259724	DB03103
CHEMBL335538	DB03222
CHEMBL1235902	DB01740
CHEMBL486208	DB17066
CHEMBL2110783	DB14044
CHEMBL4296719	DB11723
CHEMBL1885178	DB11244
CHEMBL760	DB00261
CHEMBL149603	DB02762
CHEMBL1230656	DB07298
CHEMBL1232076	DB07623
CHEMBL296323	DB07454
CHEMBL2106667	DB13330
CHEMBL486146	DB08263
CHEMBL17860	DB04948
CHEMBL2104907	DB13341
CHEMBL10316	DB12551
CHEMBL673	DB01626
CHEMBL3604010	DB19192
CHEMBL1231367	DB02614
CHEMBL2107062	DB13362
CHEMBL188225	DB02414
CHEMBL243716	DB19084
CHEMBL199544	DB07305
CHEMBL342478	DB04001
CHEMBL1161221	DB03154
CHEMBL456163	DB08136
CHEMBL311300	DB02568
CHEMBL259850	DB01950
CHEMBL3306201	DB09333
CHEMBL582878	DB02740
CHEMBL211769	DB07888
CHEMBL360998	DB07609
CHEMBL228224	DB08070
CHEMBL1665	DB13871
CHEMBL1908305	DB15284
CHEMBL157265	DB02632
CHEMBL436559	DB06468
CHEMBL1547	DB00152
CHEMBL2106941	DB09252
CHEMBL253582	DB02772
CHEMBL1233457	DB07930
CHEMBL380183	DB19436
CHEMBL23393	DB00815
CHEMBL394484	DB07134
CHEMBL189	DB00235
CHEMBL1987518	DB11115
CHEMBL4469488	DB18068
CHEMBL43452	DB08910
CHEMBL43452	DB17419
CHEMBL1233985	DB04726
CHEMBL257036	DB07412
CHEMBL1788401	DB13465
CHEMBL848	DB00480
CHEMBL2110602	DB01414
CHEMBL528	DB01332
CHEMBL395091	DB11823
CHEMBL86304	DB01171
CHEMBL1182743	DB13289
CHEMBL897	DB01032
CHEMBL2105212	DB13430
CHEMBL477508	DB02290
CHEMBL4533605	DB13090
CHEMBL499	DB00373
CHEMBL489285	DB07694
CHEMBL207095	DB07312
CHEMBL1076347	DB11155
CHEMBL375270	DB07863
CHEMBL1670	DB00648
CHEMBL1474900	DB16847
CHEMBL1055	DB00310
CHEMBL207456	DB15161
CHEMBL455946	DB08133
CHEMBL320775	DB12912
CHEMBL1625	DB01428
CHEMBL451635	DB13750
CHEMBL31871	DB07892
CHEMBL515914	DB19364
CHEMBL2107373	DB05680
CHEMBL1788396	DB13599
CHEMBL462313	DB11479
CHEMBL1398654	DB19358
