Purple Book Monthly Historical Data Changes Report - June 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newly Approved Products (N)  / Products Added in Current Release (R) / Updated Products (U),,,,,,,,,,,,,,,,,,,,,,,,,,,
N/R/U,Applicant,BLA Number,Proprietary Name,Proper Name,License Type,Strength,Dosage Form,Route of Administration,Product Presentation,Marketing Status,Licensure,Approval Date,Inter. Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,Inter. Supplement Number,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date,Patent List Provided
U,Merck Sharp & Dohme LLC,101084,N/A,Normal Horse Serum,351(a),1ML,Injection,Intradermal,Single-Dose Vial,Rx,Licensed,2-Jan-59,, ,,0,Original,,0002,001,CBER,,,,,,
U,CSL Behring GmbH,125317,Riastap,Fibrinogen Concentrate (Human),351(a),1800-2600MG,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,19-Dec-25,, ,,269,Supplement,,1765,002,CBER,,,,,16-Jan-16,
U,CSL Behring AG,125350,Hizentra,"Immune Globulin Subcutaneous (Human), 20% Liquid",351(a),1G/5ML,Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,13-Apr-23,, ,,614,Supplement,,1766,005,CBER,,,,,23-Jul-18,
U,CSL Behring AG,125350,Hizentra,"Immune Globulin Subcutaneous (Human), 20% Liquid",351(a),2G/10ML,Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,13-Apr-23,, ,,614,Supplement,,1766,006,CBER,,,,,23-Jul-18,
U,CSL Behring AG,125350,Hizentra,"Immune Globulin Subcutaneous (Human), 20% Liquid",351(a),4G/20ML,Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,13-Apr-23,, ,,913,Supplement,,1766,007,CBER,,,,,27-Mar-20,
U,CSL Behring AG,125350,Hizentra,"Immune Globulin Subcutaneous (Human), 20% Liquid",351(a),10G/50ML,Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,13-Apr-23,, ,,1217,Supplement,,1766,008,CBER,,,,,15-Mar-25,
U,Seqirus Inc.,125408,"Flucelvax, Flucelvax Quadrivalent",Influenza Vaccine,351(a),45UG/.5ML,Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,4-Mar-24,, ,,575,Supplement,,2049,004,CBER,,,,,,
U,"Medexus Pharma, Inc.",125426,Ixinity,Coagulation Factor IX (Recombinant),351(a),500IU,For Injection,Intravenous,Single-Dose Vial,Disc,Licensed,29-Apr-15,, ,,0,Original,,2220,001,CBER,,,,,,
N,Octapharma Pharmazeutika Produktionsges.m.b.H.,125612,Fibryga,Fibrinogen (Human),351(a),2G,For Injection,Intravenous,Single-Use Bottle,Rx,Licensed,23-Jun-25,, ,,178,Supplement,,1646,002,CBER,,,,,,
U,"Kite Pharma, Inc.",125643,Yescarta,axicabtagene ciloleucel,351(a),2 × 10^6 CAR-POSITIVE VIABLE T CELLS PER KG OF BODY WEIGHT,Injection,Intravenous,Bag,Rx,Licensed,18-Oct-17,, ,,0,Original,,2064,001,CBER,,,,,5-Feb-33,
